Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/


"Crime reported by Chicago Heights Police Dept, Illinois"
Year,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,
1985,12,      36452,,           1,,         105,         182,,           2.7,,         288.1,         499.3
1986,12,      35774,,           9,,          81,         191,,          25.2,,         226.4,         533.9
1987,12,      35644,,           5,,          77,         218,,          14.0,,         216.0,         611.6
1988,12,      35358,,           8,,         127,         303,,          22.6,,         359.2,         856.9
1989,12,      35668,,           7,,         147,         282,,          19.6,,         412.1,         790.6
1990,12,      33072,,           4,,         130,         393,,          12.1,,         393.1,       1188.3
1991,12,      33397,,           7,,         165,         398,,          21.0,,         494.1,       1191.7
1992,12,      33651,,           5,,         180,         372,,          14.9,,         534.9,       1105.5
2006,12,      31542,,           8,,         199,         173,,          25.4,,         630.9,         548.5
2007,12,      30818,,           9,,         182,         156,,          29.2,,         590.6,         506.2
2008,12,      30579,,           6,,         175,         142,,          19.6,,         572.3,         464.4
2009,12,      30354,,           5,,         146,         107,,          16.5,,         481.0,         352.5
2010,12,      30276,         279,           6,          28,         123,         122,         921.5,          19.8,          92.5,         406.3,         403.0
2012,12,      30422,         252,           3,          26,         115,         108,         828.3,           9.9,          85.5,         378.0,         355.0

"Notes: When data are unavailable, the cells are blank or the year is not presented."



"           Rates are the number of reported offenses per 100,000 population"

          Crime rates are not available for agencies that report data for less than 12 months of a year.

" Illinois agencies 1985-2009 - The data collection methodology for the offense of forcible rape used by the State Uniform Crime Reporting (UCR) Program does not comply with national UCR Program guidelines. Consequently, their figures for forcible rape and violent crime (of which forcible rape is part) are not included in this tool."

" The exception, however, is Rockford, Illinois. The agency has provided valid forcible rape crime counts as of 2006."

"Sources: FBI, Uniform Crime Reports, prepared by the National Archive of Criminal Justice Data"
Date of download: Oct 14 2016
