Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/


"Crime reported by Chicago Ridge Police Dept, Illinois"
Year,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,
1985,12,      14214,,           0,,           3,          12,,            .0,,          21.1,          84.4
1986,12,      14281,,           0,,           2,          15,,            .0,,          14.0,         105.0
1987,12,      14242,,           0,,           2,           6,,            .0,,          14.0,          42.1
1988,12,      14128,,           0,,           1,           4,,            .0,,           7.1,          28.3
1989,12,      14020,,           0,,           5,          14,,            .0,,          35.7,          99.9
1990,12,      13643,,           0,,           9,          17,,            .0,,          66.0,         124.6
1991,12,      13777,,           0,,          16,          20,,            .0,,         116.1,         145.2
1992,1,      13881,,           0,,           0,           0,,,,,
2009,1,      13286,,           0,,           0,           1,,,,,
2010,12,      14305,          21,           1,           3,           9,           8,         146.8,           7.0,          21.0,          62.9,          55.9
2011,12,      14348,          10,           0,           1,           6,           3,          69.7,            .0,           7.0,          41.8,          20.9
2012,12,      14373,          29,           1,           5,           8,          15,         201.8,           7.0,          34.8,          55.7,         104.4

"Notes: When data are unavailable, the cells are blank or the year is not presented."



"           Rates are the number of reported offenses per 100,000 population"

          Crime rates are not available for agencies that report data for less than 12 months of a year.

" Illinois agencies 1985-2009 - The data collection methodology for the offense of forcible rape used by the State Uniform Crime Reporting (UCR) Program does not comply with national UCR Program guidelines. Consequently, their figures for forcible rape and violent crime (of which forcible rape is part) are not included in this tool."

" The exception, however, is Rockford, Illinois. The agency has provided valid forcible rape crime counts as of 2006."

"Sources: FBI, Uniform Crime Reports, prepared by the National Archive of Criminal Justice Data"
Date of download: Oct 14 2016
