"X","DATE","LATITUDE","LONGITUDE","OFFENSE","PRECINCT","BOROUGH","JURISDICTION","DAY","MONTH"
996813,2013-06-27,40.775448585,-73.911543235,"GRAND LARCENY",114,"QUEENS","N.Y. POLICE DEPT","Thursday","Jun"
940506,2013-09-14,40.7464202890001,-73.889451584,"GRAND LARCENY",110,"QUEENS","N.Y. POLICE DEPT","Saturday","Sep"
995758,2014-12-28,40.811130194,-73.936714506,"ROBBERY",25,"MANHATTAN","N.Y. HOUSING POLICE","Sunday","Dec"
711642,2013-10-09,40.8661644840001,-73.898428585,"BURGLARY",52,"BRONX","N.Y. POLICE DEPT","Wednesday","Oct"
936508,2014-02-24,40.71874031,-73.997591659,"BURGLARY",5,"MANHATTAN","N.Y. POLICE DEPT","Monday","Feb"
947293,2014-03-10,40.5807808600001,-73.983394569,"FELONY ASSAULT",60,"BROOKLYN","N.Y. POLICE DEPT","Monday","Mar"
1021084,2015-10-31,40.7408805790001,-73.980197092,"GRAND LARCENY",13,"MANHATTAN","N.Y. POLICE DEPT","Saturday","Oct"
758593,2014-06-10,40.760009316,-73.807809936,"GRAND LARCENY",109,"QUEENS","N.Y. POLICE DEPT","Tuesday","Jun"
991534,2014-05-12,40.5739063240001,-73.9993858989999,"FELONY ASSAULT",60,"BROOKLYN","N.Y. HOUSING POLICE","Monday","May"
868886,2013-11-16,40.6827927590001,-73.784131406,"FELONY ASSAULT",113,"QUEENS","N.Y. POLICE DEPT","Saturday","Nov"
1060313,2014-07-09,40.7605859670001,-73.9859271,"GRAND LARCENY",18,"MANHATTAN","N.Y. POLICE DEPT","Wednesday","Jul"
1069676,2015-06-01,40.781611136,-73.8033242559999,"BURGLARY",109,"QUEENS","N.Y. POLICE DEPT","Monday","Jun"
961295,2013-03-02,40.815795526,-73.8858645129999,"FELONY ASSAULT",41,"BRONX","N.Y. POLICE DEPT","Saturday","Mar"
816573,2014-05-29,40.7053120900001,-73.7952935119999,"GRAND LARCENY",103,"QUEENS","N.Y. POLICE DEPT","Thursday","May"
978646,2015-07-31,40.645929761,-73.879510168,"GRAND LARCENY",75,"BROOKLYN","N.Y. POLICE DEPT","Friday","Jul"
1099876,2014-11-02,40.854578297,-73.930701459,"ROBBERY",34,"MANHATTAN","N.Y. POLICE DEPT","Sunday","Nov"
895357,2013-07-05,40.6107171290001,-73.9209852829999,"GRAND LARCENY",63,"BROOKLYN","N.Y. POLICE DEPT","Friday","Jul"
725509,2014-01-29,40.84939095,-73.9145498079999,"FELONY ASSAULT",46,"BRONX","N.Y. POLICE DEPT","Wednesday","Jan"
730605,2014-04-17,40.6067876220001,-73.748164781,"GRAND LARCENY",101,"QUEENS","N.Y. POLICE DEPT","Thursday","Apr"
813745,2015-04-19,40.6910085750001,-73.914727539,"GRAND LARCENY OF MOTOR VEHICLE",83,"BROOKLYN","N.Y. POLICE DEPT","Sunday","Apr"
984374,2014-12-17,40.7033499720001,-73.8002045709999,"ROBBERY",103,"QUEENS","N.Y. POLICE DEPT","Wednesday","Dec"
863010,2015-07-28,40.740610358,-74.006673844,"BURGLARY",6,"MANHATTAN","N.Y. POLICE DEPT","Tuesday","Jul"
986059,2014-12-19,40.6934451930001,-73.9778275469999,"GRAND LARCENY OF MOTOR VEHICLE",88,"BROOKLYN","N.Y. POLICE DEPT","Friday","Dec"
964758,2015-03-24,40.5911689390001,-73.944973848,"BURGLARY",61,"BROOKLYN","N.Y. POLICE DEPT","Tuesday","Mar"
883310,2014-03-15,40.7231840970001,-74.000885335,"GRAND LARCENY",1,"MANHATTAN","N.Y. POLICE DEPT","Saturday","Mar"
869800,2013-11-24,40.8181374970001,-73.9367656479999,"ROBBERY",32,"MANHATTAN","N.Y. POLICE DEPT","Sunday","Nov"
987761,2015-05-02,40.754494197,-73.872409005,"ROBBERY",115,"QUEENS","N.Y. POLICE DEPT","Saturday","May"
1069533,2015-08-19,40.6991768760001,-73.760798913,"FELONY ASSAULT",113,"QUEENS","N.Y. POLICE DEPT","Wednesday","Aug"
993201,2014-11-08,40.7527163990001,-73.821383953,"GRAND LARCENY",109,"QUEENS","N.Y. POLICE DEPT","Saturday","Nov"
958489,2013-04-05,40.6834018820001,-73.858158847,"GRAND LARCENY",102,"QUEENS","N.Y. POLICE DEPT","Friday","Apr"
950207,2014-01-08,40.8158371060001,-73.947035216,"FELONY ASSAULT",32,"MANHATTAN","N.Y. POLICE DEPT","Wednesday","Jan"
1093189,2015-07-06,40.7621421490001,-73.8865665119999,"FELONY ASSAULT",115,"QUEENS","N.Y. POLICE DEPT","Monday","Jul"
679526,2014-05-22,40.7397596500001,-74.002523863,"BURGLARY",6,"MANHATTAN","N.Y. POLICE DEPT","Thursday","May"
1103578,2015-12-16,40.7504307680001,-73.989282176,"GRAND LARCENY",14,"MANHATTAN","N.Y. POLICE DEPT","Wednesday","Dec"
825542,2015-05-29,40.668503474,-73.9255994009999,"GRAND LARCENY",77,"BROOKLYN","N.Y. POLICE DEPT","Friday","May"
1074271,2014-12-24,40.8366525220001,-73.9071469089999,"GRAND LARCENY",42,"BRONX","N.Y. HOUSING POLICE","Wednesday","Dec"
876845,2013-07-18,40.667515322,-73.8800659509999,"GRAND LARCENY",75,"BROOKLYN","N.Y. POLICE DEPT","Thursday","Jul"
1063325,2014-09-25,40.588552672,-73.938624836,"ROBBERY",61,"BROOKLYN","N.Y. POLICE DEPT","Thursday","Sep"
1115818,2015-09-11,40.593760536,-73.9802983279999,"FELONY ASSAULT",60,"BROOKLYN","N.Y. HOUSING POLICE","Friday","Sep"
842898,2013-01-04,40.6022073560001,-73.98812478,"FELONY ASSAULT",62,"BROOKLYN","N.Y. POLICE DEPT","Friday","Jan"
1028254,2013-09-11,40.7788728580001,-73.9510219699999,"BURGLARY",19,"MANHATTAN","N.Y. POLICE DEPT","Wednesday","Sep"
1059031,2015-06-14,40.6797116010001,-73.9616801189999,"GRAND LARCENY OF MOTOR VEHICLE",77,"BROOKLYN","N.Y. POLICE DEPT","Sunday","Jun"
995901,2015-10-18,40.7233684390001,-73.807150763,"GRAND LARCENY",107,"QUEENS","N.Y. POLICE DEPT","Sunday","Oct"
1032357,2015-12-04,40.5977857880001,-73.991535649,"BURGLARY",62,"BROOKLYN","N.Y. POLICE DEPT","Friday","Dec"
1043234,2014-01-31,40.7151278900001,-73.773572777,"ROBBERY",107,"QUEENS","N.Y. POLICE DEPT","Friday","Jan"
952263,2014-10-21,40.8682591950001,-73.9161381119999,"ROBBERY",34,"MANHATTAN","N.Y. POLICE DEPT","Tuesday","Oct"
997929,2015-01-17,40.656278722,-73.8887972429999,"GRAND LARCENY OF MOTOR VEHICLE",75,"BROOKLYN","N.Y. HOUSING POLICE","Saturday","Jan"
1070952,2015-04-11,40.6668616750001,-73.890693676,"FELONY ASSAULT",75,"BROOKLYN","N.Y. POLICE DEPT","Saturday","Apr"
897748,2013-09-01,40.7511177590001,-73.976292482,"GRAND LARCENY",17,"MANHATTAN","N.Y. POLICE DEPT","Sunday","Sep"
995849,2013-06-27,40.8684914850001,-73.918560266,"ROBBERY",34,"MANHATTAN","N.Y. POLICE DEPT","Thursday","Jun"
1028044,2013-09-11,40.6962432350001,-73.941756906,"BURGLARY",79,"BROOKLYN","N.Y. POLICE DEPT","Wednesday","Sep"
890829,2013-06-20,40.7566420420001,-73.988371577,"GRAND LARCENY",14,"MANHATTAN","N.Y. POLICE DEPT","Thursday","Jun"
918396,2013-12-17,40.831647149,-73.8760697829999,"ROBBERY",43,"BRONX","N.Y. POLICE DEPT","Tuesday","Dec"
955471,2013-10-26,40.626079422,-73.9644019469999,"BURGLARY",70,"BROOKLYN","N.Y. POLICE DEPT","Saturday","Oct"
1034025,2014-09-23,40.724441014,-73.9934605509999,"GRAND LARCENY",9,"MANHATTAN","N.Y. POLICE DEPT","Tuesday","Sep"
936573,2013-09-12,40.713000032,-73.961321911,"GRAND LARCENY",90,"BROOKLYN","N.Y. POLICE DEPT","Thursday","Sep"
838169,2013-08-08,40.6933920490001,-73.990593143,"GRAND LARCENY",84,"BROOKLYN","N.Y. POLICE DEPT","Thursday","Aug"
914002,2013-09-04,40.678511772,-73.9149309919999,"GRAND LARCENY OF MOTOR VEHICLE",73,"BROOKLYN","N.Y. POLICE DEPT","Wednesday","Sep"
1038896,2013-12-31,40.8395178690001,-73.888415067,"BURGLARY",48,"BRONX","N.Y. POLICE DEPT","Tuesday","Dec"
900688,2013-11-08,40.61341171,-73.989106073,"BURGLARY",62,"BROOKLYN","N.Y. POLICE DEPT","Friday","Nov"
933086,2014-02-14,40.6857711750001,-73.921934788,"GRAND LARCENY",81,"BROOKLYN","N.Y. POLICE DEPT","Friday","Feb"
1075081,2014-12-24,40.5604456610001,-74.150760238,"BURGLARY",122,"STATEN ISLAND","N.Y. POLICE DEPT","Wednesday","Dec"
1106387,2015-01-18,40.8222127830001,-73.8805422789999,"BURGLARY",43,"BRONX","N.Y. POLICE DEPT","Sunday","Jan"
715876,2015-02-13,40.7504307680001,-73.989282176,"GRAND LARCENY",14,"MANHATTAN","N.Y. POLICE DEPT","Friday","Feb"
918078,2014-08-27,40.629292015,-73.918300947,"ROBBERY",63,"BROOKLYN","N.Y. POLICE DEPT","Wednesday","Aug"
726107,2014-02-18,40.7168347360001,-73.9621385569999,"BURGLARY",94,"BROOKLYN","N.Y. POLICE DEPT","Tuesday","Feb"
927288,2014-09-13,40.8419678660001,-73.938159745,"BURGLARY",33,"MANHATTAN","N.Y. POLICE DEPT","Saturday","Sep"
918341,2014-08-27,40.860878686,-73.895902416,"ROBBERY",46,"BRONX","N.Y. POLICE DEPT","Wednesday","Aug"
927754,2013-09-17,40.6671358770001,-73.866978042,"GRAND LARCENY OF MOTOR VEHICLE",75,"BROOKLYN","N.Y. HOUSING POLICE","Tuesday","Sep"
823161,2015-03-16,40.546899985,-74.1486715089999,"GRAND LARCENY",122,"STATEN ISLAND","N.Y. POLICE DEPT","Monday","Mar"
870918,2014-11-21,40.7087323010001,-73.871252206,"GRAND LARCENY OF MOTOR VEHICLE",104,"QUEENS","N.Y. POLICE DEPT","Friday","Nov"
1023175,2013-11-13,40.7066149010001,-73.761969688,"GRAND LARCENY",103,"QUEENS","N.Y. POLICE DEPT","Wednesday","Nov"
1017172,2014-09-12,40.7479725270001,-73.977538723,"BURGLARY",17,"MANHATTAN","N.Y. POLICE DEPT","Friday","Sep"
1108462,2015-03-04,40.7443624370001,-74.006598434,"GRAND LARCENY",10,"MANHATTAN","N.Y. POLICE DEPT","Wednesday","Mar"
